fk_customer,channel,partner,device,first_sale_number,age,gender,state,expected_delivery_date,delivered_date,first_sale_date,second_sale_date,has_marketplace,has_crossdocking,has_private_label,has_brands,gmv
34169127,DISPLAY,APPLIFT,APP ANDROID,4470005167,33,female,minas gerais,20190606,20190607,20190529,,0,0,1,1,199.00
30864459,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,4465240000,46,female,são paulo,20190116,20190107,20190102,,0,0,0,1,59.99
28037605,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,844929,37,female,rio de janeiro,20180716,20180710,20180701,20180716,0,0,1,0,45.98
26458956,SEM NON-BRAND,FACEBOOK,APP ANDROID,28644894,19,female,sao paulo,20180314,20180309,20180305,20190914,0,0,0,1,189.00
34515770,SEM NON-BRAND,GOOGLE,DESKTOP,4470661889,32,female,são paulo,,20190626,20190614,,1,0,0,0,139.90
29228958,COMPARISON,GOOGLE,DESKTOP,4461808626,35,female,são paulo,20181023,20181017,20181003,,1,0,0,0,99.90
28658819,REFERRAL,CUPONATION,DESKTOP,2015887,28,female,são paulo,20180827,20180824,20180818,20190915,0,0,0,1,119.99
31967766,ORGANIC,GOOGLE,DESKTOP,4467772250,39,male,são paulo,20190401,20190401,20190327,,0,0,0,0,101.76
28925124,SEM BRAND,GOOGLE,M+T SITE,4460952019,38,male,são paulo,20180912,20180912,20180907,,0,0,0,1,289.97
27635640,DISPLAY,FACEBOOK,APP ANDROID,4468276308,19,female,mato grosso,20190513,20190425,20190410,20190423,0,0,1,0,743.86
26587456,SEM BRAND,GOOGLE,DESKTOP,77865684,32,male,sao paulo,20180412,20180326,20180320,,0,0,1,0,99.00
32507271,SEM BRAND,GOOGLE,DESKTOP,4468904268,35,female,são paulo,20190506,20190510,20190501,,0,0,0,1,79.98
26361084,COMPARISON,GOOGLE,DESKTOP,83741294,51,female,sao paulo,20180420,20180319,20180228,20180913,0,1,0,0,226.99
27800738,COMPARISON,GOOGLE,M+T SITE,395618,28,male,são paulo,20180716,20180624,20180616,,0,0,0,1,64.99
36351711,ORGANIC,GOOGLE,DESKTOP,4474317472,21,female,minas gerais,20191007,20191001,20190925,20190925,1,0,0,1,225.87
32189967,FACEBOOKADS - APP,FACEBOOK,APP IOS,4468288473,29,female,são paulo,20190417,20190416,20190410,20190824,0,0,0,1,569.88
20968225,CRM - EMAIL,TRANSACTIONAL,M+T SITE,4458792747,37,female,rio de janeiro,20180717,20180713,20180708,,0,0,0,0,359.99
26731823,FACEBOOKADS - STATIC,FACEBOOK,DESKTOP,31114184,39,female,maranhão,20180418,20180413,20180330,,0,0,1,1,189.00
29928540,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4463300164,22,male,são paulo,20181122,20181119,20181115,,0,0,0,0,84.99
34856971,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4471145219,33,female,pernambuco,20190718,,20190629,,0,0,0,0,499.98
35731638,DIRECT,DIRECT,APP ANDROID,4472930124,23,female,são paulo,20190829,20190820,20190814,,0,0,1,0,159.00
24171701,SEM BRAND,GOOGLE,M+T SITE,4458729734,34,female,são paulo,20180713,20180716,20180706,,0,0,0,1,194.88
30112235,FACEBOOKADS - APP,FACEBOOK,APP IOS,4463805982,20,male,são paulo,20181207,20181204,20181123,,0,0,0,1,84.99
35403715,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4473179267,22,female,são paulo,20190827,20190826,20190822,,0,0,0,1,179.98
30911489,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4465338319,52,female,são paulo,20190110,20190108,20190105,20190226,0,0,0,1,134.99
32179498,FACEBOOKADS - APP,FACEBOOK,APP IOS,4468330868,22,male,rio de janeiro,20190425,20190417,20190412,20190412,1,0,0,1,244.88
35783798,FACEBOOKADS - STATIC,FACEBOOK,M+T SITE,4473014736,53,male,pernambuco,20190823,20190823,20190817,,0,0,0,1,159.99
296213,NOT IDENTIFIED TRACKER,NOT IDENTIFIED TRACKER,APP IOS,4468932206,31,male,são paulo,20190507,20190507,20190501,20190502,1,0,0,0,119.98
35416547,FACEBOOKADS - STATIC,FACEBOOK,M+T SITE,20761089,43,male,santa catarina,20190813,20190805,20190726,,0,0,1,0,159.00
35423079,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4472347676,38,female,são paulo,20190805,20190802,20190731,,0,0,0,1,54.99
32105000,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,12778330,48,female,são paulo,20190410,20190409,20190405,20190406,0,0,0,1,99.99
26996200,SEM NON-BRAND,GOOGLE,M+T SITE,41761454,27,male,são paulo,20180426,20180425,20180421,,0,0,0,1,129.90
26617642,COMPARISON,FACEBOOK,M+T SITE,61187254,34,female,minas gerais,20180511,20180507,20180423,20180708,0,0,0,1,189.00
35343650,SOCIAL,FACEBOOK,M+T SITE,4471973433,46,female,minas gerais,20190801,20190731,20190720,,0,0,0,1,109.99
26778750,SEM NON-BRAND,YAHOO,DESKTOP,87365674,25,female,paraíba,20180425,20180418,20180409,,0,0,0,1,114.99
35928448,ORGANIC,GOOGLE,M+T SITE,4473394446,39,male,minas gerais,20191004,20190913,20190828,,0,1,0,0,654.99
30215859,ORGANIC,GOOGLE,M+T SITE,4463972800,22,female,são paulo,20181212,20181129,20181125,,0,0,0,1,167.97
35564430,FACEBOOKADS - STATIC,FACEBOOK,M+T SITE,4472518467,28,female,paraná,20190812,20190808,20190805,,0,0,0,1,169.00
26548366,DIRECT,DIRECT,APP ANDROID,78714194,27,female,minas gerais,20180323,20180317,20180311,20181024,0,0,1,0,139.00
29210630,AFFILIATES - GENERAL,DIRECT,APP IOS,4463515417,61,female,rio grande do sul,20181205,20181126,20181120,20181122,0,0,0,0,1299.99
26633472,NOT IDENTIFIED TRACKER,NOT IDENTIFIED TRACKER,DESKTOP,18164984,28,female,parana,20180405,20180402,20180321,,0,0,0,1,149.99
27256922,REFERRAL,CUPONOMIA,DESKTOP,67889614,44,female,são paulo,20180523,20180515,20180511,,0,0,1,1,246.32
36076630,CRM - EMAIL,CRITEO,M+T SITE,4473650619,40,female,rio de janeiro,20190910,20190910,20190905,20190911,0,0,0,1,84.99
